id,nearc2,nearc4,educ,age,fatheduc,motheduc,weight,momdad14,sinmom14,step14,reg661,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669,south66,black,smsa,south,smsa66,wage,enroll,KWW,IQ,married,libcrd14,exper,lwage,expersq
2,0,0,7,29,,,158413,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,548,0,15,,1,0,16,6.30627489089966,256
3,0,0,12,27,8,8,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,481,0,35,93,1,1,9,6.17586708068848,81
4,0,0,12,34,14,12,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,721,0,42,103,1,1,16,6.58063888549805,256
5,1,1,11,27,11,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,250,0,25,88,1,1,10,5.52146100997925,100
6,1,1,12,34,8,7,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,729,0,34,108,1,0,16,6.59167385101318,256
7,1,1,12,26,9,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,0,38,85,1,1,8,6.21460819244385,64
8,1,1,18,33,14,14,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,565,0,41,119,1,1,9,6.33682584762573,81
9,1,1,14,29,14,14,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,608,0,46,108,1,1,9,6.41017484664917,81
10,1,1,12,28,12,12,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,425,0,32,96,4,0,10,6.05208921432495,100
11,1,1,12,29,12,12,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,515,0,34,97,1,1,11,6.2441668510437,121
12,1,1,9,28,11,12,380166,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,225,0,29,84,1,0,13,5.41610097885132,169
